ID,Type,Title,Short Title,Distance_km,Steps_est,Location,Blurb,Success blurb,Fail Blurb,Date Start,Date End
1016,Weekly,Petra Backdoor & High Place,Petra,22,27500,"Wadi Musa, Jordan",Sandstone stairways into temples and tombs.,You descend carved steps into chambers glowing with history.,"The heat, dust, and tour groups drain all sense of wonder.",2/5/2026,2/12/2026
1017,Weekly,Wadi Rum Sandstone Circuit,Wadirum,27,33750,"Wadi Rum, Jordan","Rust-red dunes, rock bridges, Bedouin tea stops.","You crest a dune at sunset, sip tea, and watch the desert burn orange.","The sandstorm stings, the bridges bake, and no tea in sight.",2/13/2026,2/20/2026
1018,Weekly,Lycian Way Blue Bays Day,Lycian,24,30000,"Antalya Province, Türkiye",Piney traverses above neon-blue coves and ruins.,Pines frame turquoise water and crumbling stone in perfect harmony.,"The coves are choked with boats, the ruins roped off.",2/21/2026,2/28/2026
1019,Weekly,Kumano Kodo Nakahechi Day,Kumano,23,28750,"Wakayama, Japan","Mossy pilgrim stones, shrines, and cedar corridors.",Mossy lanterns guide you through hushed cedar avenues to shrines.,"Crowds clog the path, and rain turns mossy steps into slides.",3/1/2026,3/8/2026
1020,Weekly,Jeju Olle Route Mix,Jeju,28,35000,"Jeju-do, South Korea","Lava coastline, tangerine farms, sea stacks.",Waves hammer black rock as you snack on sweet mandarins.,"Rain flattens the coast, and farms offer only closed gates.",3/9/2026,3/16/2026
1021,Weekly,Great Ocean Walk Day 2–3,Oceanwalk,26,32500,"Victoria, Australia",Cliff paths and surf thundering below.,Waves explode beneath you while seabirds wheel overhead.,"Fog blocks the ocean, leaving only slippery cliffs and fear.",3/17/2026,3/24/2026
1022,Weekly,Larapinta Ridge Sampler,Larapinta,29,36250,"Northern Territory, Australia","Desert ridges, ochre gorges, big Outback skies.",The ridges glow at sunset under endless desert sky.,Heat haze and flies steal all joy from the ochre canyons.,3/25/2026,4/1/2026
1023,Weekly,Annapurna Poon Hill Short,Poonhill,24,30000,"Gandaki, Nepal","Stone steps, rhododendron forests, sunrise on giants.","At dawn, rhododendrons frame snowy peaks blazing pink.",Clouds smother sunrise and the steps feel never-ending.,4/2/2026,4/9/2026
1024,Weekly,Langtang Valley Day Push,Langtang,20,25000,"Bagmati, Nepal","Mani walls, yak pastures, glacier-spill views.",Yaks graze below walls as white glaciers pour down the peaks.,"The altitude pounds, the walls feel endless, and no glacier reveals itself.",4/10/2026,4/17/2026
1025,Weekly,Drakensberg Amphitheatre Loop,Drakensberg,28,35000,"KwaZulu-Natal, South Africa",Escarpment rim drama and thundering Tugela.,The rim yawns wide and Tugela Falls drops like silver thread.,Mist hides the rim and the falls vanish into the void.,4/18/2026,4/25/2026
1026,Weekly,Sossusvlei Dunes Circuit,Sossusvlei,22,27500,"Namib Desert, Namibia",Big Daddy dune climbs and bleached Deadvlei pans.,"You crest Big Daddy, slide down to a ghostly white pan of skeleton trees.","Heat shimmers, sand burns, and the pan feels lifeless and flat.",4/26/2026,5/3/2026
1027,Weekly,Simien Highlands Escarpment,Simien,25,31250,"Amhara, Ethiopia","Gelada troops, knife-edge cliffs, cloud oceans.",Baboons chatter on cliffs while clouds billow like seas below.,"The geladas hide, and clouds block every view.",5/4/2026,5/11/2026
1028,Weekly,Atlas Imlil & Tizi n’Tamaterte,Tamaterte,21,26250,"High Atlas, Morocco","Berber villages, walnut groves, snowy crests.",Villages glow red against snow peaks and walnut orchards.,"Smog, dust, and closed passes ruin the mountain magic.",5/12/2026,5/19/2026
1029,Weekly,Zion West Rim Highlights,Zion,27,33750,"Utah, USA",Slickrock mesas and slot-rim vistas.,The slickrock glows gold and every rim frames a perfect canyon.,Blistering heat and closed slots make the mesas feel barren.,5/20/2026,5/27/2026
1030,Weekly,Grand Canyon South Rim Traverse,Canyon,30,37500,"Arizona, USA",Rim-to-rim-style lookouts without the full plunge.,Lookouts give full canyon drama with a fraction of the effort.,"The viewpoints are packed, and haze dulls the canyon depths.",5/28/2026,6/4/2026
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Tamaterte,,,,,,,,
,,,,,,,,,,,
,,,Zion,,,,,,,,
,,,,,,,,,,,
,,,Canyon,,,,,,,,
